word,cat,info,temporal,objects,human,art,distance,unitlike
astonishing,adj,ambig,1,1,1,1,1,1
incredible,adj,ambig,1,1,1,1,1,1
impressive,adj,ambig,1,1,1,1,1,1
disappointing,adj,ambig,1,1,1,1,1,1
surprising,adj,ambig,1,1,1,1,1,1
devastating,adj,ambig,1,1,1,1,1,1
pathetic,adj,ambig,1,1,1,1,1,1
remarkable,adj,ambig,1,1,1,1,1,1
mediocre,adj,ambig,1,1,1,1,1,1
unsatisfying,adj,ambig,1,1,1,1,1,1
lovely,adj,pos,1,1,1,1,1,1
beautiful,adj,pos,1,1,1,1,1,1
enchanting,adj,pos,1,1,1,1,1,1
soothing,adj,pos,1,1,1,1,1,1
charming,adj,pos,1,1,1,1,1,1
disgusting,adj,neg,1,1,1,1,1,1
uninviting,adj,neg,1,1,1,1,1,1
haunting,adj,neg,1,1,1,1,1,1
hideous,adj,neg,1,1,1,1,1,1
ugly,adj,neg,1,1,1,1,1,1
mere,adj,quant,1,1,1,1,1,1
staggering,adj,quant,1,1,1,1,1,1
whopping,adj,quant,1,1,1,1,1,1
hefty,adj,quant,1,1,1,1,1,1
paltry,adj,quant,1,1,1,1,1,1
meager,adj,quant,1,1,1,1,1,1
extra,adj,quant,1,1,1,1,1,1
measly,adj,quant,1,1,1,1,1,1
substantial,adj,quant,1,1,1,1,1,1
record-setting,adj,quant,1,1,1,1,1,1
large,adj,stubborn,,1,1,,,
big,adj,stubborn,,1,1,,,
small,adj,stubborn,,1,1,,,
round,adj,stubborn,,1,1,,,
tall,adj,stubborn,,1,,,,
blue,adj,color,,1,,,,
green,adj,color,,1,,,,
red,adj,color,,1,,,,
yellow,adj,color,,1,,,,
orange,adj,color,,1,,,,
lucky,adj,human,,0,1,,,
talented,adj,human,,0,1,,,
graceful,adj,human,,0,1,,,
fancy,adj,human,,0,1,,,
friendly,adj,human,,0,1,,,
collegial,adj,human,,0,1,,,
hopeful,adj,human,,0,1,,,
shy,adj,human,,0,1,,,
bold,adj,human,,0,1,,,
grinning,adj,human,,0,1,,,
soldiers,noun,human,,,1,,,
students,noun,human,,,1,,,
athletes,noun,human,,,1,,,
pianists,noun,human,,,1,,,
teammates,noun,human,,,1,,,
lawyers,noun,human,,,1,,,
doctors,noun,human,,,1,,,
actors,noun,human,,,1,,,
Americans,noun,human,,,1,,,
bankers,noun,human,,,1,,,
desks,noun,objects,,1,,,,
marbles,noun,objects,,1,,,,
pencils,noun,objects,,1,,,,
belts,noun,objects,,1,,,,
forks,noun,objects,,1,,,,
chairs,noun,objects,,1,,,,
cans,noun,objects,,1,,,,
bananas,noun,objects,,1,,,,
apples,noun,objects,,1,,,,
trays,noun,objects,,1,,,,
movies,noun,art,,,,1,,
paintings,noun,art,,,,1,,
books,noun,art,,,,1,,
shows,noun,art,,,,1,,
operas,noun,art,,,,1,,
days,noun,temporal,1,,,,,
weeks,noun,temporal,1,,,,,
months,noun,temporal,1,,,,,
years,noun,temporal,1,,,,,
hours,noun,temporal,1,,,,,
meters,noun,distance,,,,,1,
feet,noun,distance,,,,,1,
yards,noun,distance,,,,,1,
blocks,noun,distance,,,,,1,
steps,noun,distance,,,,,1,
pages,noun,unit_like,,,,,,1
acts,noun,unit_like,,,,,,1
paragraphs,noun,unit_like,,,,,,1
awards,noun,unit_like,,,,,,1
meals,noun,unit_like,,,,,,1
three,num,num,1,1,1,1,1,1
five,num,num,1,1,1,1,1,1
twenty,num,num,1,1,1,1,1,1
